CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,2,Needs Attention
12347,2,7,4310.0,1,VIP
12348,75,4,1797.24,2,Needs Attention
12349,19,1,1757.55,0,Promising
12350,310,1,334.4,3,Hibernating
12352,36,8,2506.04,2,Needs Attention
12353,204,1,89.0,3,Hibernating
12354,232,1,1079.4,3,Hibernating
12355,214,1,459.4,3,Hibernating
12356,23,3,2811.43,2,Needs Attention
12357,33,1,6207.67,2,Needs Attention
12358,2,2,1168.06,0,Promising
12359,58,4,6372.58,2,Needs Attention
12360,52,3,2662.06,2,Needs Attention
12361,287,1,189.9,3,Hibernating
12362,3,10,5226.23,1,VIP
12363,110,2,552.0,3,Hibernating
12364,8,4,1313.1,0,Promising
12365,291,2,641.38,3,Hibernating
12367,4,1,168.9,0,Promising
12370,51,4,3545.69,2,Needs Attention
12371,45,2,1887.96,2,Needs Attention
12372,72,3,1298.04,2,Needs Attention
12373,311,1,364.6,3,Hibernating
12374,25,1,742.9300000000001,0,Promising
12375,11,2,457.5,0,Promising
12377,315,2,1628.12,2,Needs Attention
12378,130,1,4008.62,2,Needs Attention
12379,82,2,852.24,2,Needs Attention
12380,22,4,2724.81,2,Needs Attention
12381,5,5,1845.31,1,VIP
12383,185,5,1850.56,2,Needs Attention
12384,29,2,585.27,0,Promising
12386,338,2,401.9,3,Hibernating
12388,16,6,2780.66,1,VIP
12390,80,1,549.84,3,Hibernating
12391,22,1,460.89,0,Promising
12393,72,4,1582.6000000000001,2,Needs Attention
12394,64,2,1272.48,2,Needs Attention
12395,19,12,3018.63,1,VIP
12397,36,2,2409.9,2,Needs Attention
12398,46,1,1635.6599999999999,2,Needs Attention
12399,119,4,1108.65,2,Needs Attention
12401,303,1,84.3,3,Hibernating
12402,323,1,225.6,3,Hibernating
12403,50,1,427.7,3,Hibernating
12405,149,1,1710.39,2,Needs Attention
12406,22,2,3415.3,2,Needs Attention
12407,50,5,1708.1200000000001,2,Needs Attention
12408,33,5,2888.55,2,Needs Attention
12409,79,3,11072.67,2,Needs Attention
12410,309,2,693.3299999999999,3,Hibernating
12412,75,3,1226.88,2,Needs Attention
12413,67,3,758.1,2,Needs Attention
12414,217,3,562.41,3,Hibernating
12415,24,21,124914.53,1,VIP
12417,3,9,3649.1,1,VIP
12418,113,1,668.58,3,Hibernating
12420,64,1,600.39,3,Hibernating
12421,16,4,807.04,0,Promising
12422,96,3,803.5600000000001,2,Needs Attention
12423,1,8,1859.31,1,VIP
12424,163,2,1760.96,2,Needs Attention
12425,78,1,777.2,3,Hibernating
12426,195,1,582.73,3,Hibernating
12427,22,3,825.8,0,Promising
12428,26,9,7956.46,1,VIP
12429,9,4,3750.4,1,VIP
12430,43,1,256.4,3,Hibernating
12431,36,15,6487.45,1,VIP
12432,43,5,5059.32,2,Needs Attention
12433,1,7,13375.87,1,VIP
12434,85,2,806.14,2,Needs Attention
12435,80,2,7829.89,2,Needs Attention
12436,100,1,509.01,3,Hibernating
12437,2,18,4951.41,1,VIP
12438,14,2,2906.85,2,Needs Attention
12441,367,1,173.55,3,Hibernating
12442,3,1,172.06,0,Promising
12444,21,5,5005.46,1,VIP
12445,22,1,133.4,0,Promising
12446,58,1,1002.3100000000001,3,Hibernating
12447,243,1,476.49,3,Hibernating
12448,44,1,449.45,3,Hibernating
12449,22,4,4067.29,2,Needs Attention
12450,156,2,197.88,3,Hibernating
12451,11,5,9035.52,1,VIP
12452,17,2,430.57,0,Promising
12453,134,1,707.09,3,Hibernating
12454,56,1,3528.34,2,Needs Attention
12455,73,6,2466.86,2,Needs Attention
12456,44,3,3181.04,2,Needs Attention
12457,66,7,2363.23,2,Needs Attention
12458,71,2,947.4,2,Needs Attention
12461,94,2,826.88,2,Needs Attention
12462,19,2,1189.59,0,Promising
12463,53,4,1344.78,2,Needs Attention
12464,10,8,1212.05,1,VIP
12465,17,2,742.1899999999999,0,Promising
12468,188,2,729.5400000000001,3,Hibernating
12471,2,30,19824.05,1,VIP
12472,32,7,6572.11,1,VIP
12473,29,5,3938.5499999999997,2,Needs Attention
12474,17,18,7375.79,1,VIP
12475,54,1,723.38,3,Hibernating
12476,16,11,6816.42,1,VIP
12477,23,6,13219.74,1,VIP
12478,4,1,680.99,0,Promising
12479,11,1,527.2,0,Promising
12480,28,4,3281.63,2,Needs Attention
12481,23,10,5596.32,1,VIP
12483,17,8,2484.98,1,VIP
12484,33,6,4541.72,2,Needs Attention
12488,10,3,1298.66,0,Promising
12489,336,1,334.93,3,Hibernating
12490,5,10,5417.93,1,VIP
12491,39,1,460.40000000000003,0,Promising
12492,63,2,263.21000000000004,3,Hibernating
12493,166,2,433.74,3,Hibernating
12494,16,7,1246.1000000000001,2,Needs Attention
12497,82,1,1043.1,3,Hibernating
12498,21,3,403.70000000000005,0,Promising
12500,23,11,4257.82,1,VIP
12501,337,1,2169.39,3,Hibernating
12502,96,5,3723.87,2,Needs Attention
12504,18,2,482.04999999999995,0,Promising
12506,233,1,73.5,3,Hibernating
12507,134,3,1304.81,2,Needs Attention
12508,26,2,398.27,0,Promising
12509,284,1,176.5,3,Hibernating
